team_id,short_name,hash_tag,computer_id,grabber_ip
nef788392,TulaSU: 1: pepelats,spb121,121,10.25.3.59
nef788395,YarSU: 1: STACKMANS,spb153,153,10.25.3.59
nef788418,Belarusian SU: 1: Dungeon Thread,spb81,081,10.25.3.59
nef788419,BSUIR: #1: So stuffy,spb29,029,10.25.3.59
nef788420,Belarusian SU: 2: Fiksiki,spb44,044,10.25.3.59
nef788421,Belarusian SU: 5: Medium rare,spb100,100,10.25.3.59
nef788422,GSU: -2,spb66,066,10.25.3.59
nef788423,BSUIR: #3: Enter name of team,spb37,037,10.25.3.59
nef788424,Belarusian SU: 3,spb166,166,10.25.3.59
nef788425,Belarusian SU: 4: OSUTeam,spb54,054,10.25.3.59
nef788426,Baltic FU: 1: Num4,spb83,083,10.25.3.59
nef788427,BSUIR: turbosvin u+1f416 u+1f4a8,spb148,148,10.25.3.59
nef788428,BSUIR: #7: Brute Force - Best Force,spb125,125,10.25.3.59
nef788429,BelSUT: _1,spb18,018,10.25.3.59
nef788430,Grodno SU: #1,spb75,075,10.25.3.59
nef788431,BNTU: #1 FITRx3,spb50,050,10.25.3.59
nef788432,BNTU: #2 Pogchampions,spb99,099,10.25.3.59
nef788945,CFUV: Drei kameraden,spb130,130,10.25.3.59
nef789838,CFUV: -1,spb20,020,10.25.3.59
nef789937,Far Eastern FU: SpaceDuck,spb79,079,10.25.3.59
nef789939,Far Eastern STU: DevOchka,spb144,144,10.25.3.59
nef789941,North-Eastern FU: ultramarines,spb64,064,10.25.3.59
nef789942,Far Eastern FU: Cyber-Meatball,spb39,039,10.25.3.59
nef789943,Far Eastern FU: Chamliks,spb136,136,10.25.3.59
nef789944,Far Eastern FU: Garbies,brn8,B08,10.128.0.1
nef789945,Pacific NU: Compilation failed,spb35,035,10.25.3.59
nef789946,Vladivostok SU: ADA,spb173,173,10.25.3.59
nef789947,Sholom-Aleichem PSU: Sholom-Aleichem Priamursky SU 1,brn16,B16,10.128.0.1
nef789968,North-Eastern FU: opa!,spb52,052,10.25.3.59
nef790038,Yerevan SU: 1,kts10,K10,10.128.0.1
nef790039,Yerevan SU: X,kts48,K48,10.128.0.1
nef790040,RAU: 1,kts6,K06,10.128.0.1
nef790041,Yerevan SU: Useless As Long,kts23,K23,10.128.0.1
nef790042,Yerevan SU: 4,kts53,K53,10.128.0.1
nef790043,RAU: 2,kts33,K33,10.128.0.1
nef790044,RAU: 3,kts22,K22,10.128.0.1
nef790046,RAU: 4,kts47,K47,10.128.0.1
nef790047,Goris SU: We and Our Mountains,kts29,K29,10.128.0.1
nef790048,Goris SU: NoPolitic++s,kts42,K42,10.128.0.1
nef790050,EUA: 1,kts55,K55,10.128.0.1
nef790061,Innopolis: U A,spb152,152,10.25.3.59
nef790067,Saratov SU: K,spb163,163,10.25.3.59
nef790068,Innopolis: U M,spb128,128,10.25.3.59
nef790069,Kazan FU: I,spb96,096,10.25.3.59
nef790070,Volgograd STU: D,spb60,060,10.25.3.59
nef790071,Nizhny Novgorod HSE: Brawl Stars,spb51,051,10.25.3.59
nef790072,NNSU: Lera not Retired,spb3,003,10.25.3.59
nef790073,NNSU: Alexey Sergeevich,spb72,072,10.25.3.59
nef790074,South FU IMMCS: H,spb115,115,10.25.3.59
nef790100,Kazan FU: S,spb140,140,10.25.3.59
nef790101,MordSU: A,spb103,103,10.25.3.59
nef790102,NNSU: Kaifariki,spb176,176,10.25.3.59
nef790103,Kazan FU: J,spb53,053,10.25.3.59
nef790104,VoronezhSU: H,spb8,008,10.25.3.59
nef790105,USTU: Ulyanovsk STU C,spb172,172,10.25.3.59
nef790133,Penza SU: Arbina | Vadim Team,spb147,147,10.25.3.59
nef790134,Saratov SU: J,spb91,091,10.25.3.59
nef790135,Kazan FU: AA,spb46,046,10.25.3.59
nef790136,Samara U: F,spb74,074,10.25.3.59
nef790137,NSTU: PUDGE,spb159,159,10.25.3.59
nef790138,MordSU: C,spb110,110,10.25.3.59
nef790139,ASU: A,spb4,004,10.25.3.59
nef790140,Penza SU: Arbina | SE Prodigies,spb108,108,10.25.3.59
nef790141,VoronezhSU: Q,spb171,171,10.25.3.59
nef790142,Nizhny Novgorod HSE: Dark Horse,spb178,178,10.25.3.59
nef790432,Belarusian SU: 9: Pointing Hands,spb143,143,10.25.3.59
nef790433,Izhevsk STU: Comrade coders,spb158,158,10.25.3.59
nef790434,Perm SNRU: busy beavers,spb86,086,10.25.3.59
nef790435,Ufa SATU: Seven_H,spb109,109,10.25.3.59
nef790436,HSE: Dirizhabl’,spb30,030,10.25.3.59
nef790437,Moscow Tech U MIREA: Team 4,spb116,116,10.25.3.59
nef790438,Innopolis: U T,spb62,062,10.25.3.59
nef790439,Volgograd STU: H,spb102,102,10.25.3.59
nef791228,Saratov SU: M,spb19,019,10.25.3.59
nef791356,BryanskSTU: 1: winx_v3.0,spb9,009,10.25.3.59
nef791357,ISPU: #3,spb34,034,10.25.3.59
nef795852,MSU Tashkent: 1 Awesome Team,ala6,A06,10.128.0.1
nef795853,TIU: #1,ala10,A10,10.128.0.1
nef795854,TUIT: Code of Duty,ala13,A13,10.128.0.1
nef795855,TUIT: Algo Experts,ala20,A20,10.128.0.1
nef795856,RusTjkSlav: REAL NERU,ala16,A16,10.128.0.1
nef795857,SamTUIT: MAAc,ala23,A23,10.128.0.1
nef795858,TUIT: Lorem Ipsum,ala26,A26,10.128.0.1
nef795859,NUUz: Bekorchilar,ala30,A30,10.128.0.1
nef795860,TUIT Urgench Branch: #1,ala36,A36,10.128.0.1
nef795861,TIIM: Intellect,ala40,A40,10.128.0.1
nef795862,TUIT: Dominators,ala47,A47,10.128.0.1
nef795863,NewUU: Import magic,ala43,A43,10.128.0.1
nef795864,IIAU: TEAM SEVEN,ala51,A51,10.128.0.1
nef795865,MSU Tashkent: Ace,ala53,A53,10.128.0.1
nef795866,SamTUIT: Vertow,ala66,A66,10.128.0.1
nef795867,BukhSU: _1,ala56,A56,10.128.0.1
nef795868,NUUz: Cyberdine,ala58,A58,10.128.0.1
nef795869,JBNUU: 1,ala60,A60,10.128.0.1
nef795870,Namangan SU: #1,ala34,A34,10.128.0.1
nef795871,TUIT Urgench Branch: #2,ala64,A64,10.128.0.1
nef795872,SamSU: DREAM TEAM,ala69,A69,10.128.0.1
nef796437,Irkutsk SU: ICPC means Irkutsk Competitive Programming Community,spb85,085,10.25.3.59
nef796438,Irkutsk SU: 322,spb24,024,10.25.3.59
nef796439,Buryat SU: (INF)acts,spb22,022,10.25.3.59
nef796440,Irkutsk SU: Take it easy,spb47,047,10.25.3.59
nef796442,SFU: div ++inf,spb104,104,10.25.3.59
nef796542,Irkutsk NRTU: PolyTech,brn1,B01,10.128.0.1
nef796543,Buryat SU: 2: SYAS,brn2,B02,10.128.0.1
nef796544,Irkutsk SU: Gigachads,spb127,127,10.25.3.59
nef796545,ISRU: BebraniumCoders,spb122,122,10.25.3.59
nef796546,Irkutsk SU: Amigos,spb135,135,10.25.3.59
nef796547,SFU: CHERVI,brn3,B03,10.128.0.1
nef796549,Irkutsk NRTU: Cython_ist++,spb93,093,10.25.3.59
nef796550,ISRU: Glupoe nazvanie,spb123,123,10.25.3.59
nef796555,Khakas TI of SFU: 1,brn5,B05,10.128.0.1
nef796556,PSU: Gcode,brn6,B06,10.128.0.1
nef796557,Buryat SU: 3: OP2G,brn7,B07,10.128.0.1
nef796558,PSU: eternal,brn15,B15,10.128.0.1
nef796560,PSU: Lil Chipmunks,brn22,B22,10.128.0.1
nef796561,PSU: APNort,brn29,B29,10.128.0.1
nef796574,Novosibirsk SU: 1: Gena the crocodile,spb82,082,10.25.3.59
nef796575,Novosibirsk SU: 4: MathWay,spb28,028,10.25.3.59
nef796576,Novosibirsk SU: 12: The Colleagues,spb56,056,10.25.3.59
nef796577,Novosibirsk SU: 2: Ia-Ia,spb151,151,10.25.3.59
nef796578,Novosibirsk SU: 5: Successful payment,spb146,146,10.25.3.59
nef797070,Kazan FU: P,spb134,134,10.25.3.59
nef797071,Innopolis: U J,spb40,040,10.25.3.59
nef797072,NNSU: Almost Enqueued,spb92,092,10.25.3.59
nef797075,SibSUTI: 1 Neutral,brn9,B09,10.128.0.1
nef797076,Tomsk PU: 1,brn10,B10,10.128.0.1
nef797077,SibSUTI: 2 TRIPLE_A,brn17,B17,10.128.0.1
nef797079,Omsk SU: 3,brn11,B11,10.128.0.1
nef797080,Altai STU: 1,brn12,B12,10.128.0.1
nef797081,Omsk SU: 1,brn18,B18,10.128.0.1
nef797082,NSTU: 5,brn14,B14,10.128.0.1
nef797083,SibSUTI: 6 hodgepodge,brn23,B23,10.128.0.1
nef797084,Omsk SU: 2,brn25,B25,10.128.0.1
nef797085,SibSUTI: 4 ZERONE,brn30,B30,10.128.0.1
nef797086,NSTU: 4,brn4,B04,10.128.0.1
nef797087,Altai STU: 4,brn19,B19,10.128.0.1
nef797089,NSTU: 6-FPMI,brn27,B27,10.128.0.1
nef797090,Altai STU: 3,brn26,B26,10.128.0.1
nef797091,SSTU: STU_2,brn21,B21,10.128.0.1
nef797092,SSTU: STU_6,brn28,B28,10.128.0.1
nef797093,NSTU: 12,brn31,B31,10.128.0.1
nef797094,Tomsk PU: 2,brn32,B32,10.128.0.1
nef799340,Tbilisi Freeuni: 1,kts1,K01,10.128.0.1
nef799341,Kutaisi IU: WeShowSpeed,kts25,K25,10.128.0.1
nef799342,Tbilisi Freeuni: 3,kts46,K46,10.128.0.1
nef799343,Tbilisi Freeuni: 13,kts39,K39,10.128.0.1
nef799344,Tbilisi Freeuni: 6,kts17,K17,10.128.0.1
nef799345,Tbilisi Freeuni: 12,kts2,K02,10.128.0.1
nef799346,Kutaisi IU: Gurkotas Lekvebi,kts34,K34,10.128.0.1
nef799347,Tbilisi SU: T1,kts38,K38,10.128.0.1
nef799348,Tbilisi SU: T2,kts9,K09,10.128.0.1
nef799349,Kutaisi IU: Tamliani,kts50,K50,10.128.0.1
nef799350,Tbilisi CU: 1,kts21,K21,10.128.0.1
nef799351,Kutaisi ATSU: 1,kts54,K54,10.128.0.1
nef799352,IBSU: Tbilisi 3,kts52,K52,10.128.0.1
nef799353,Kutaisi IU: FarosanSlayer,kts3,K03,10.128.0.1
nef799354,Tbilisi CU: 2,kts43,K43,10.128.0.1
nef799355,Kutaisi ATSU: 2,kts32,K32,10.128.0.1
nef799356,Batumi SU: 1,kts19,K19,10.128.0.1
nef799357,Baku HOS: 1,kts4,K04,10.128.0.1
nef799358,ADA: U 1,kts8,K08,10.128.0.1
nef799360,ADA: U 2,kts12,K12,10.128.0.1
nef799361,ADA: U 3,kts27,K27,10.128.0.1
nef799363,UFAZ: 1,kts36,K36,10.128.0.1
nef799364,AzSUE-UNEC: _1,kts37,K37,10.128.0.1
nef799365,UFAZ: 3,kts24,K24,10.128.0.1
nef799366,ADA: U 5,kts45,K45,10.128.0.1
nef799368,Baku EU: 1,kts51,K51,10.128.0.1
nef799369,ASOIU: 1,kts16,K16,10.128.0.1
nef799372,AzTU: SABAH 17,kts35,K35,10.128.0.1
nef799373,Baku SU: 1,kts30,K30,10.128.0.1
nef799571,Baku HOS: 7,kts49,K49,10.128.0.1
nefnc01,* KBTU:  DIV3O,ala72,A72,10.128.0.1
nefnc02,* IITU: Kurenshe,ala73,A73,10.128.0.1
nefnc03,* Tbilisi: Live_in_Baghdadi,kts7,K07,10.128.0.1
nefnc04,* Yerevan SU: 2813,kts18,K18,10.128.0.1
nefnc05,* Kutaisi: schoolteam,kts40,K40,10.128.0.1
nefnc06,* IDEMO,kts28,K28,10.128.0.1
nefnc07,"* FreeUni9: Saba ",kts14,K14,10.128.0.1
